City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tymovskoye,50.8456,142.655,-0.82,92,23,3.92,RU,1715194845
83,fort mcmurray,56.7268,-111.381,13.77,62,0,2.06,CA,1715194807
84,alofi,-19.0595,-169.9187,25.94,94,75,5.66,NU,1715194845
85,bredasdorp,-34.5322,20.0403,13.21,81,0,0.24,ZA,1715194845
86,utrik,11.2278,169.8474,26.85,78,100,9.41,MH,1715194845
87,glace bay,46.1969,-59.957,13.92,77,20,7.2,CA,1715194845
88,mbabane,-26.3167,31.1333,13.33,70,0,1.02,SZ,1715194845
89,abu zabad,12.35,29.25,31.89,12,4,6.83,SD,1715194845
90,pong,19.1493,100.2752,23.42,82,0,0.95,TH,1715194846
91,badger,64.8,-147.5333,10.56,72,75,0.45,US,1715194846
92,belle fourche,44.6714,-103.8522,9.72,88,100,2.89,US,1715194846
93,howard springs,-12.497,131.047,23.95,98,33,0.75,AU,1715194846
94,vorgashor,67.5833,63.95,-9.55,93,100,3.45,RU,1715194846
95,jamestown,42.097,-79.2353,25.29,43,40,12.35,US,1715194797
96,los frentones,-26.4077,-61.4137,22.75,58,53,5.99,AR,1715194846
97,lorengau,-2.0226,147.2712,27.56,83,99,6.78,PG,1715194846
98,walvis bay,-22.9575,14.5053,17.53,77,0,2.06,NA,1715194847
99,callao,-12.0667,-77.15,20.16,83,40,4.12,PE,1715194801
100,itaituba,-4.2761,-55.9836,31.09,70,20,1.03,BR,1715194847
101,shimoda,34.6667,138.95,11.17,85,100,6.31,JP,1715194847
102,hawaiian paradise park,19.5933,-154.9731,25.57,81,12,1.76,US,1715194847
103,albany,42.6001,-73.9662,26.64,68,7,1.34,US,1715194786
104,fale old settlement,-9.3852,-171.2468,29.53,76,69,5.03,TK,1715194847
105,bodo,67.28,14.405,4.97,84,75,7.72,NO,1715194841
106,porlamar,10.958,-63.8491,29.62,73,100,5.81,VE,1715194847
107,esquel,-42.9,-71.3167,3.33,99,94,1.37,AR,1715194635
108,loango,-4.6719,11.8312,26.17,89,98,4.15,CG,1715194848
109,niederstetten,49.4,9.9194,13.05,82,75,2.06,DE,1715194848
110,margate,51.3813,1.3862,13.82,70,100,0.45,GB,1715194758
111,aykhal,66.0,111.5,-8.57,97,99,3.33,RU,1715194848
112,magistral'nyy,56.1725,107.4458,6.32,67,100,1.89,RU,1715194848
113,miyaly,48.8844,53.7836,12.36,89,99,7.74,KZ,1715194848
114,gebeit,21.0667,36.3167,23.93,38,0,3.05,SD,1715194848
115,cardigan,52.0847,-4.6591,13.83,88,99,1.41,GB,1715194849
116,hancheng,32.5186,112.3522,19.97,66,100,2.48,CN,1715194849
117,freetown,8.484,-13.2299,29.84,74,75,6.17,SL,1715194849
118,remire-montjoly,4.9167,-52.2667,29.02,79,75,3.09,GF,1715194849
119,ceerigaabo,10.6162,47.368,21.61,63,14,2.97,SO,1715194849
120,calabozo,8.9242,-67.4293,34.05,45,100,1.78,VE,1715194849
121,sorong,-0.8833,131.25,25.09,94,100,2.34,ID,1715194850
122,punta arenas,-53.15,-70.9167,3.06,93,75,1.54,CL,1715194402
123,kapuskasing,49.4169,-82.4331,8.05,61,75,6.69,CA,1715194850
124,tocopilla,-22.092,-70.1979,21.15,68,54,3.06,CL,1715194850
125,lerwick,60.1545,-1.1494,9.0,98,100,6.57,GB,1715194850
126,cabedelo,-6.9811,-34.8339,30.37,78,100,4.43,BR,1715194828
127,thompson,55.7435,-97.8558,10.09,53,40,3.09,CA,1715194850
128,iskateley,67.6803,53.1512,-4.99,88,100,7.15,RU,1715194850
129,happy valley-goose bay,53.3168,-60.3315,4.17,56,75,6.17,CA,1715194813
130,san patricio,28.017,-97.5169,32.4,53,100,4.58,US,1715194851
131,papatowai,-46.5619,169.4708,3.14,84,11,2.67,NZ,1715194851
132,youhao,47.8667,128.8333,5.42,86,1,2.1,CN,1715194851
133,minas de marcona,-15.2119,-75.1103,18.38,68,73,8.51,PE,1715194851
134,avarua,-21.2078,-159.775,28.03,89,75,4.12,CK,1715194851
135,perry,37.2506,-83.1999,20.1,91,100,3.32,US,1715194851
136,dobrinka,52.1653,40.4731,4.34,73,20,3.4,RU,1715194851
